claim_id,roadmap_scope,claiming_surface,entry_source,owner_crate,claimed_effect,actual_terminal_effect,artifact_family,physical_writer,reader,durability_boundary,reopen_source,independent_verifier,classification,path_kind,candidate_search,trace_locations,probe_command,observed_result,disposition,target_milestone,review_notes
"backend-backup-materialization","S.7/S.10","physical backend backup materialization session","workspaces/worth-store/crates/worth-store-physical-backend/src/backup_materialization/session.rs","worth-store-physical-backend","materialize and publish bounded backup artifacts","writes real backup bundle files for an explicit source set and session; canonical heap runtime does not supply authoritative database artifacts","backup bundle","backup materialization session","backup operations and certification callers","backup publication barriers","explicit backup session directory","bundle revalidation","isolated_real_mechanism","reconstructive","rg -n 'backup_materialization|write_all|sync_all|rename' workspaces/worth-store/crates/worth-store-physical-backend/src","workspaces/worth-store/crates/worth-store-physical-backend/src/backup_materialization;workspaces/worth-store/crates/worth-store-operations/src/certification_scenario/backup.rs","not_required","real backup publication cannot compensate for a nonphysical source runtime","refactor_before_connection","C.11","Preserve bounded publication and rebind its source set after native artifact adoption."
"formal-owner-conformance","S.9","checked physical protocol models and refinement bindings","workspaces/worth-store/crates/worth-store-formal-models/src/lib.rs","worth-store-formal-models","prove real owner transition protocols","runs checked models and artifact-producing model runners over named owner abstractions; current physical runtime transitions are heap-only or disconnected","model traces and counterexamples","formal model artifact writer","formal and certification callers","model execution completion","model artifact files","model runner","certification_only_mechanism","certification","rg -n 'InMemoryPhysicalFormatModel|model|invariant|artifact|write' workspaces/worth-store/crates/worth-store-formal-models/src","workspaces/worth-store/crates/worth-store-formal-models/Cargo.toml;workspaces/worth-store/crates/worth-store-formal-models/src/runner","not_required","model success cannot certify absent owner transitions","refactor_before_connection","C.12","Preserve models but remap only after C.7-C.11 transitions are executable."
"operations-control-store","S.10 unadmitted","operational workflow and control-store persistence","workspaces/worth-store/crates/worth-store-operations/src/control_store","worth-store-operations","persist operational workflow state and recovery actions","writes real operational control artifacts for explicit workflow callers; not the canonical database page WAL or root path","operational control records","operations control store","operations workflows and certification scenarios","control-store specific sync and publication","operational control root","operations recovery and offline checks","isolated_real_mechanism","reconstructive","rg -n 'OpenOptions|write_all|sync_all|rename|control_store' workspaces/worth-store/crates/worth-store-operations/src/control_store workspaces/worth-store/crates/worth-store-operations/src/workflow","workspaces/worth-store/crates/worth-store-operations/src/control_store;workspaces/worth-store/crates/worth-store-operations/src/workflow","not_required","real control-plane files do not make the underlying database physical","preserve","C.13","Keep unadmitted S.10 substrate paused until C.13 readiness."
"offline-physical-verification","S.3/S.10","offline verifier acquisition and inspection","workspaces/worth-store/crates/worth-store-offline-verifier/src/lib.rs","worth-store-offline-verifier","independently inspect persisted Store artifacts","contains real read-only acquisition and verification over explicit files plus some supplied-layout paths; ordinary runtime produces no canonical artifact set","backup recovery and forensic artifacts","none","offline and operations callers","read-only","explicit artifact paths","offline process and format checks","isolated_real_mechanism","reconstructive","rg -n 'File::open|read_to_end|PersistedPhysicalLayout|verify' workspaces/worth-store/crates/worth-store-offline-verifier/src","workspaces/worth-store/crates/worth-store-offline-verifier/src/media_acquisition;workspaces/worth-store/crates/worth-store-offline-verifier/src/inspection;workspaces/worth-store/crates/worth-store-physical-format/src/offline_verifier","not_required","independent readers exist but lack one authoritative database namespace to inspect","refactor_before_connection","C.9","Preserve read-only authority separation; remove shared live-layout assumptions."
"replication-progress-files","S.8/S.10","replication progress and disaster-recovery artifact stores","workspaces/worth-store/crates/worth-store-replication/src/progress_store.rs","worth-store-replication","persist replication progress and recovery bundles","writes real progress or bundle artifacts for replication workflows outside the ordinary physical runtime","replication progress and recovery bundle","replication stores","replication and operations callers","replication-specific","explicit replication artifact paths","replication recovery readers","isolated_real_mechanism","reconstructive","rg -n 'std::fs|OpenOptions|write_all|sync_all|progress_store' workspaces/worth-store/crates/worth-store-replication/src","workspaces/worth-store/crates/worth-store-replication/src/progress_store.rs;workspaces/worth-store/crates/worth-store-replication/src/disaster_recovery","not_required","real side artifacts are not joined to canonical Store durability or recovery","refactor_before_connection","C.11","Retain domain behavior but adopt the canonical physical platform before platform credit."
"platform-grade-claim-promotion","S.1 closeout","PlatformGradeClaimWitness::from_facade_evidence","workspaces/worth-store/crates/worth-store-claim-boundaries/src/promotion.rs::from_facade_evidence","worth-store-claim-boundaries","promote the physical runtime to platform grade","returns PhysicalFoundationReconstructionOpen without inspecting heap-runtime evidence","none","none","certification closeout","none","none","none","quarantined_false_claim","certification","rg -n 'PlatformGradeClaimWitness|satisfies_in_memory_observation_contract' workspaces/worth-store/crates","workspaces/worth-store/crates/worth-store-claim-boundaries/src/promotion.rs;workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/observation/evidence.rs","cargo test -p worth-store-claim-boundaries","heap-only complete and incomplete evidence both receive the typed reconstruction-open denial","quarantine_outside_production","C.13","C.13 must design a new handoff from reconstructed physical evidence."
"physical-substrate-readiness-promotion","S.1/S.2 handoff","close_physical_substrate_readiness and prove_physical_substrate_readiness","workspaces/worth-store/crates/worth-store-readiness/src/physical_substrate/proof.rs","worth-store-readiness","mint sealed physical-substrate readiness","returns PhysicalFoundationReconstructionOpen and contains no heap replay or count-to-readiness constructor","none","none","certification and physical-integrity readiness","none","none","none","quarantined_false_claim","certification","rg -n 'close_physical_substrate_readiness|prove_physical_substrate_readiness|InMemoryPhysicalFormatReplayArtifact' workspaces/worth-store/crates","workspaces/worth-store/crates/worth-store-readiness/src/physical_substrate/proof.rs;workspaces/worth-store/crates/worth-store-readiness/src/physical_substrate/facts.rs;workspaces/worth-store/crates/worth-store-certification/src/courtroom/physical_integrity/substrate/physical_substrate_certification_scan.rs","cargo test -p worth-store-readiness","foundational handoff is rejected and synthetic physical handoff builders have been deleted","quarantine_outside_production","C.13","The historical receipt and readiness types remain unconstructible compatibility posture only."
"certification-physical-substrate-closeout","S.1 closeout","certify_physical_page_segment_extent_substrate","workspaces/worth-store/crates/worth-store-certification/src/courtroom/physical_integrity/substrate/physical_substrate_certification_authority.rs","worth-store-certification","close S.1 physical substrate and hand readiness downstream","terminates at PhysicalFoundationReconstructionOpen when heap evidence attempts platform promotion","none","none","certification callers","none","none","none","certification_only_mechanism","certification","rg -n 'certify_physical_page_segment_extent_substrate|PhysicalSubstrateCertificationScan' workspaces/worth-store/crates/worth-store-certification/src","workspaces/worth-store/crates/worth-store-certification/src/courtroom/physical_integrity/substrate/physical_substrate_certification_authority.rs;workspaces/worth-store/crates/worth-store-certification/src/courtroom/physical_integrity/substrate/physical_substrate_certification_scan.rs","cargo test -p worth-store-certification --lib physical_substrate","certification now asserts typed reconstruction-open denial instead of historical closeout success","quarantine_outside_production","C.13","The courtroom can observe denial but cannot mint physical readiness."
"recovery-test-support-model-world","S.2-S.4","worth_store_test_support::harness::recovery","workspaces/worth-store/crates/worth-store-test-support/src/harness/recovery/mod.rs","worth-store-test-support","provide reusable physical recovery worlds and receipts","constructs fixture-owned manifests, encoded heap frames, exact-count model snapshots, schedules, traces, and synthetic recovery artifacts for tests; it is not an ordinary Store composition path","test fixtures; model pages; simulated recovery traces","test-owned helpers and explicitly invoked certification backends only","Store tests and certification suites","none","fixture-supplied state","test assertions and certification oracles","test_only_mechanism","test-only","rg -n 'pub (fn|struct)|PhysicalSubstrateReadinessSnapshot::from_exact_counts|PhysicalSimulationPlan|replay_bundle|fixture' workspaces/worth-store/crates/worth-store-test-support/src/harness/recovery -g '*.rs'","workspaces/worth-store/crates/worth-store-test-support/src/harness/recovery/fixtures/recovery_physical.rs;workspaces/worth-store/crates/worth-store-test-support/src/harness/recovery/fixtures/recovery_readiness.rs;workspaces/worth-store/crates/worth-store-test-support/src/harness/recovery/coverage/mod.rs","not_required","fixture construction is source-visible and requires an explicit test-support caller; renamed model helpers no longer mint sealed readiness","preserve","C.8","Preserve useful algorithm and recovery scenarios, but C.8 must prove fresh-process recovery through the joined physical runtime without accepting this fixture world as source truth."
"empty-root-fresh-process-probe","S.1-S.9","ordinary append durability and reopen probe","workspaces/worth-store/crates/worth-store/src/physical_runtime","worth-store","write through ordinary facade then reopen from root plus configuration","C.4 admits the physical namespace and proves lifecycle and process-death ownership behavior but intentionally exposes no artifact mutation request","none","none","none","none","none","OS filesystem plus compiler-visible API","explicitly_unavailable","ordinary","rg -n 'PhysicalStore::admit|append_physical_record|reopen' workspaces/worth-store/crates/worth-store/src","workspaces/worth-store/crates/worth-store/src/physical_runtime;workspaces/worth-store/crates/worth-store/tests/physical_runtime_journeys/process_death_probe.rs","cargo test -p worth-store --test runtime_authority_pressure_journey","C.4 process journeys prove real namespace ownership, lease release, and observation while preserving the honest absence of artifact writes","connect_in_target_milestone","C.5","C.4 installs real media ownership; C.5 must deliver the first artifact write/reopen fresh-process probe through the same sealed runtime."
